id,title,authors,year,venue,peer_reviewed,url_or_doi,task,code_switching,retrievers,method_family,signals_or_features,query_specific,routing,fusion,abstention,risk_sensitive,cross_domain,datasets,relevance_to_H1,relevance_to_H2,relevance_to_H3,novelty_threat,notes
CDA2025,When to Speak When to Abstain: Contrastive Decoding with Abstention,"Hyuhng Joon Kim; Youna Kim; Sang-goo Lee; Taeuk Kim",2025,ACL 2025 long paper,yes,https://aclanthology.org/2025.acl-long.479/,LLM knowledge-source selection,not specific,parametric and contextual knowledge sources,training-free source prioritization,"relative relevance of internal and external knowledge",yes,yes,source prioritization,no,central,yes,controlled knowledge-access testbed,central,adjacent,adjacent,HIGH,"Directly shows training-free selective source choice and abstention are active, though downstream task is generation."
CONTRASTIVEMIX2024,ContrastiveMix: Overcoming Code-Mixing Dilemma in Cross-Lingual Transfer for Information Retrieval,"Junggeun Do; Jaeseong Lee; Seung-won Hwang",2024,NAACL-HLT 2024 short paper,yes,https://aclanthology.org/2024.naacl-short.17/,zero-shot cross-lingual IR,central,mDPR-style dense plus BM25 hybrid baseline,code-mixing-aware contrastive training,"code-mixed query representation alignment; linguistic similarity",no,no,fixed hybrid baseline,no,no,yes,MIRACL and multilingual retrieval settings,adjacent,central,central,CRITICAL,"Direct code-mixed IR adaptation and sparse-dense baseline; no inference-only selector."
LITSCHKO2023,Boosting Zero-shot Cross-lingual Retrieval by Training on Artificially Code-Switched Data,"Robert Litschko; Ekaterina Artemova; Barbara Plank",2023,Findings of ACL 2023,yes,https://aclanthology.org/2023.findings-acl.193/,zero-shot cross-lingual retrieval,central,cross-encoder rankers,artificial code-switched training,"mixing ratio in generated training data",no,no,no,no,no,yes,mMARCO; 36 language pairs,adjacent,low,adjacent,HIGH,"Establishes code-switched training as a retrieval adaptation strategy, not runtime relative reliability."
MAIMAITI2025,Improving Cross-lingual Representation for Semantic Retrieval with Code-switching,"Mieradilijiang Maimaiti; Yuanhang Zheng; Ji Zhang; Yue Zhang; Wenpei Luo; Kaiyu Huang",2025,Knowledge-Based Systems 325,yes,https://www.sciencedirect.com/science/article/pii/S0950705125009645,semantic retrieval,central,dense cross-lingual encoder,code-switched continual pretraining,"bilingual-dictionary-generated code switching; XMLM and similarity loss",no,no,no,no,no,yes,three business corpora and four open datasets,adjacent,low,central,HIGH,"Direct representation-learning prior; no sparse/dense choice."
CODEMIXPROBES2024,Code-Mixed Probes Show How Pre-Trained Models Generalise on Code-Switched Text,"Frances Adriana Laureano De Leon; Harish Tayyar Madabushi; Mark Lee",2024,LREC-COLING 2024,yes,https://aclanthology.org/2024.lrec-main.307/,code-switched representation probing,central,pretrained language models,controlled probing,"switch structure; structural information; representation consistency",query-conditioned analysis,no,no,no,no,yes,naturalistic code-switched corpus with parallel translations,adjacent,low,central,HIGH,"Shows structural probing and representation effects are established, even outside retrieval."
RELEVANTRERANK2025,Relevant for the Right Reasons? Investigating Lexical Biases in Zero-Shot and Instruction-Tuned Rerankers,"Yuchen Mao; Barbara Plank; Robert Litschko",2025,MRL 2025,yes,https://aclanthology.org/2025.mrl-main.31/,cross-lingual reranking,central,LLaMA-3.1 reranker,code-switched instruction tuning and lexical-bias analysis,"lexical overlap; counterfactual keyword rewrites",query-conditioned analysis,no,no,no,no,yes,mMARCO; XQuAD-R,adjacent,central,central,HIGH,"Shows code-switched reranking and lexical-bias diagnostics; no sparse/dense route."
FIREOVERVIEW2025,Findings of the Code-Mixed Information Retrieval from Social Media Data Shared Task at FIRE 2025,"Supriya Chanda; Krishna Tewari; Sukomal Pal",2025,FIRE 2025 Working Notes / CEUR,workshop,https://ceur-ws.org/Vol-4173/T3-1.pdf,code-mixed social-media retrieval,central,lexical; neural reranking; fusion,shared-task system comparison,"varied per-system features; one meta-learner",varied,varied,varied,varied,central,yes,CMIR-2025 Bengali-English social media,adjacent,central,central,CRITICAL,"Current shared-task evidence for hybrid, reranking, fusion and complementarity in code-mixed IR."
FIREMF2025,Model Fusion for Bridging Linguistic Variability in Bengali-English Code-Mixed Information Retrieval,"Rachana Nagaraju; Hosahalli Lakshmaiah Shashirekha",2025,FIRE 2025 Working Notes / CEUR,workshop,https://ceur-ws.org/Vol-4173/T3-2.pdf,code-mixed retrieval,central,BM25; DirichletLM; HiemstraLM,static rank fusion,"lexical and language-variation handling",no,no,RRF,no,central,yes,CMIR-2025,adjacent,central,adjacent,CRITICAL,"Direct precedent for using complementary rankers for code-mixed search."
FIRELEXISEM2025,LexiSemIR: A Two-Stage Re-ranking Framework with BM25 and Zero-Shot Bi-Encoder,"Swati Gupta; Tanusree Nath; Vedika Gupta; Manjari Gupta",2025,FIRE 2025 Working Notes / CEUR,workshop,https://ceur-ws.org/Vol-4173/T3-4.pdf,code-mixed retrieval,central,BM25 plus all-mpnet-base-v2,lexical candidate retrieval plus dense reranking,"fixed two-stage pipeline",no,no,rereanking,no,central,yes,CMIR-2025,adjacent,central,adjacent,CRITICAL,"Direct BM25-plus-dense code-mixed retrieval precedent."
FIRERRF2025,Reciprocal Rank Fusion Based Hybrid Dense-Sparse Information Retrieval on Code-Mixed Banglish Social Media Text,"Burhanuddin Merchant; Ashwaq Khazi; Sheetal S. Sonawane",2025,FIRE 2025 Working Notes / CEUR,workshop,https://ceur-ws.org/Vol-4173/T3-7.pdf,code-mixed retrieval,central,BM25 plus multilingual Sentence Transformer,hybrid RRF and weighted fusion,"fixed fusion",no,no,RRF and weighted fusion,no,central,yes,CMIR-2025,adjacent,central,adjacent,CRITICAL,"Especially direct code-mixed BM25-dense-RRF prior."
BENGLISH2025,Decoding Benglish: Scalable Information Retrieval for Transliterated Code-Mixed Conversations,"Harsh Mishra; Ramya Sharma; Naina Yadav",2025,FIRE 2025 Working Notes / CEUR,workshop,https://ceur-ws.org/Vol-4173/T3-9.pdf,transliterated code-mixed retrieval,central,BM25 plus SBERT and rerankers,fixed hybrid and reranking,"transliteration and script handling",no,no,rereanking and hybrid comparison,no,central,yes,CMIR-2025,adjacent,central,adjacent,CRITICAL,"Directly blocks a generic claim that BM25 plus dense retrieval for code-mixed queries is new."
SETURAG2026,Design and Evaluation of a Code-Switching-Aware Multilingual Conversational AI System using Advanced RAG Architectures,"Ashutosh Juvale",2026,Indian Statistical Institute master's dissertation,no,https://digitalcommons.isical.ac.in/masters-dissertations/458/,code-switching-aware conversational RAG,central,unspecified multilingual RAG components,linguistic-profile routing,"CMI; matrix language; language profile",yes,yes,method-dependent,no,central,yes,customer-support and multilingual RAG setting,central,adjacent,central,HIGH,"Thesis-level prior against CMI or matrix-language routing as a standalone novelty claim."
ARABZADEH2021,Predicting Efficiency Effectiveness Trade-offs for Dense vs Sparse Retrieval Strategy Selection,"Negar Arabzadeh; Xinyi Yan; Charles L. A. Clarke",2021,CIKM 2021,yes,https://doi.org/10.1145/3459637.3482159,query-level retrieval strategy selection,not specific,sparse; dense; hybrid,classifier-based strategy selection,"query features; outcome-derived strategy labels",yes,yes,select among strategies,no,central,yes,MS MARCO passage retrieval,central,central,adjacent,CRITICAL,"Direct prior for query-level sparse-dense-hybrid selection."
KHRAMTSOVA2023,Selecting which Dense Retriever to use for Zero-Shot Search,"Ekaterina Khramtsova; Shengyao Zhuang; Mahsa Baktashmotlagh; Xi Wang; Guido Zuccon",2023,SIGIR-AP 2023,yes,https://doi.org/10.1145/3624918.3625330,zero-shot dense retriever selection,not specific,multiple dense retrievers,unsupervised model selection,"query-corpus similarity; corpus similarity; document similarity; entropy",yes,yes,none,no,central,yes,BEIR,central,central,adjacent,HIGH,"Shows retriever selection is a named IR problem and unsupervised signals may fail under shift."
LARMOR2024,Leveraging LLMs for Unsupervised Dense Retriever Ranking,"Ekaterina Khramtsova; Shengyao Zhuang; Mahsa Baktashmotlagh; Guido Zuccon",2024,SIGIR 2024,yes,https://doi.org/10.1145/3626772.3657798,unsupervised dense retriever ranking,not specific,multiple dense retrievers,pseudo-label corpus-level selection,"LLM-generated queries; pseudo-relevant labels and reference lists",no,yes,none,no,central,yes,BEIR and target corpora,central,central,adjacent,HIGH,"Direct zero-label model-selection precedent, usually corpus-level rather than per-query."
FAGGIOLI2023,Query Performance Prediction for Neural IR: Are We There Yet?,"Guglielmo Faggioli; Thibault Formal; Stefano Marchesin; Stéphane Clinchant; Nicola Ferro; Benjamin Piwowarski",2023,ECIR 2023,yes,https://doi.org/10.1007/978-3-031-28244-7_15,neural IR query performance prediction,not specific,sparse and BERT-based rankers,QPP evaluation,"nineteen QPP predictors; score and lexical features",yes,no,no,no,central,yes,Deep Learning 2019; Robust 2004,central,central,adjacent,HIGH,"Finds QPP performs worse on neural systems and fails most where neural and lexical rankings differ."
VLACHOU2024,Coherence-based Query Performance Measures for Dense Retrieval,"Maria Vlachou; Craig Macdonald",2024,ICTIR 2024,yes,https://doi.org/10.1145/3664190.3672518,dense retrieval QPP,not specific,ANCE; TCT-ColBERT,dense coherence QPP,"embedding coherence; score distributions; query type",yes,no,no,no,central,yes,TREC Deep Learning Track,central,central,adjacent,HIGH,"Directly covers unlabeled dense post-retrieval predictors and their instability by query type."
CHIFU2024,Can we predict QPP? An approach based on multivariate outliers,"Adrian-Gabriel Chifu; Sébastien Déjean; Moncef Garouani; Josiane Mothe; Diego Ortiz; Md Zia Ullah",2024,ECIR 2024,yes,https://arxiv.org/abs/2402.16875,query performance prediction,not specific,traditional and neural rankers,QPP failure analysis,"multivariate outlier detection; hard-to-predict queries",yes,no,no,no,central,yes,ECIR QPP collections,central,central,adjacent,HIGH,"Shows selective treatment of difficult-to-predict queries is already part of QPP research."
MENG2025,Query Performance Prediction Using Relevance Judgments Generated by Large Language Models,"Chuan Meng; Negar Arabzadeh; Arian Askari; Mohammad Aliannejadi; Maarten de Rijke",2025,ACM Transactions on Information Systems,yes,https://doi.org/10.1145/3736402,query performance prediction,not specific,BM25; ANCE; TAS-B,LLM-generated relevance-based QPP,"item-level pseudo-relevance judgments; metric-specific prediction",yes,no,no,no,central,yes,TREC Deep Learning 2019-2022; CAsT-19/20,central,central,adjacent,HIGH,"Modern QPP directly estimates ranker quality without human labels and supports downstream selective decisions."
CHIFU2025,Uncovering the Limitations of Query Performance Prediction: Failures Insights and Implications for Selective Query Processing,"Adrian-Gabriel Chifu; Sébastien Déjean; Josiane Mothe; Moncef Garouani; Diego Ortiz; Md Zia Ullah",2025,arXiv preprint,no,https://arxiv.org/abs/2504.01101,QPP robustness and selective query processing,not specific,BM25; DFree; SPLADE; ColBERT,comparative QPP failure study,"NQC; UQC; LETOR; dense predictors; cross-collection variability",yes,implicit,marginal selective processing,no,central,yes,ROBUST; GOV2; WT10G; MS MARCO,central,central,central,CRITICAL,"Reports collection/ranker-dependent QPP and only marginal gains from QPP-driven selective processing."
THOMAS2017,Tasks Queries and Rankers in Pre-Retrieval Performance Prediction,"Paul Thomas; Falk Scholer; Peter Bailey; Alistair Moffat",2017,Australasian Document Computing Symposium,yes,https://www.microsoft.com/en-us/research/publication/tasks-queries-and-rankers-in-pre-retrieval-performance-prediction/,pre-retrieval QPP,not specific,five rankers,pre-retrieval performance prediction,"task difficulty; query wording; ranker effects",yes,no,no,no,central,yes,100 tasks; 28869 queries,central,adjacent,adjacent,HIGH,"Classic warning that predictors may capture task difficulty rather than query or ranker reliability."
XIN2021,The Art of Abstention: Selective Prediction and Error Regularization for Natural Language Processing,"Ji Xin; Raphael Tang; Yaoliang Yu; Jimmy Lin",2021,ACL-IJCNLP 2021,yes,https://aclanthology.org/2021.acl-long.84/,selective prediction in NLP,not specific,transformer classifiers,selective prediction and confidence estimation,"confidence estimators; error regularization",yes,yes,no,yes,central,yes,NLP classification tasks,central,adjacent,adjacent,HIGH,"Establishes risk-coverage and confidence-based abstention in NLP; not retrieval-specific."
RECOVERR2024,Selective Selective Prediction: Reducing Unnecessary Abstention in Vision-Language Reasoning,"Tejas Srinivasan; Jack Hessel; Tanmay Gupta; Bill Yuchen Lin; Yejin Choi; Jesse Thomason; Khyathi Chandu",2024,Findings of ACL 2024,yes,https://aclanthology.org/2024.findings-acl.767/,selective prediction,not specific,VLMs,inference-time evidence recovery,"low-confidence evidence collection; coverage-risk tradeoff",yes,central,no,yes,central,no,VQAv2; A-OKVQA,central,low,low,MEDIUM-HIGH,"Demonstrates asymmetric concern about over-abstention and risk-preserving coverage, adjacent to retrieval abstention."
VASHIST2025,Knowledge Graph Guided Evaluation of Abstention Techniques,"Kinshuk Vasisht; Navreet Kaur; Danish Pruthi",2025,NAACL 2025,yes,https://aclanthology.org/2025.naacl-long.353/,abstention evaluation,not specific,open and closed LLMs,abstention benchmark and generalization,"concept specificity; descendant generalization; abstention rate",yes,implicit,no,yes,central,yes,SELECT benchmark,central,low,low,MEDIUM,"Shows abstention methods trade generalization against specificity and no single method dominates."
SANTOSH2024,The Craft of Selective Prediction: Towards Reliable Case Outcome Classification,"Santosh T.Y.S.S; Irtiza Chowdhury; Shanshan Xu; Matthias Grabmair",2024,Findings of EMNLP 2024,yes,https://aclanthology.org/2024.findings-emnlp.208/,selective prediction and calibration,not specific,transformer classifiers,confidence estimator comparison,"softmax; MC dropout; error regularization",yes,implicit,no,yes,central,yes,ECtHR LexGLUE,central,low,low,MEDIUM-HIGH,"Empirical selective-risk study emphasizing calibration, overconfidence and coverage-risk curves."
MADSUDHAN2025,Do LLMs Know When to NOT Answer? Investigating Abstention Abilities of Large Language Models,"Nishanth Madhusudhan; Sathwik Tejaswi Madhusudhan; Vikas Yadav; Masoud Hashemi",2025,COLING 2025,yes,https://aclanthology.org/2025.coling-main.627/,LLM abstention evaluation,not specific,open and closed LLMs,black-box abstention evaluation,"verbal confidence; strict prompting; AUCM",yes,implicit,no,yes,central,yes,Abstain-QA,central,low,low,MEDIUM,"Black-box abstention evaluation shows confidence and refusal behavior are difficult to calibrate."
